Player,Name,Position,Team,Opp,Manager,Passing_Comp,Passing_Yds,Passing_TD,Passing_Int,Rushing_Yds,Rushing_TD,Receiving_Rec,Receiving_Yds,Receiving_TD,Return_Yds,Return_TD,Misc_FumTD,Misc_2PT,Fumble_Lost,Fumble_Fum,Fantasy_Points
Israel Abanikanda RB - NYJ,Israel Abanikanda,RB,NYJ,Bye,FA,,,,,,,,,,,,,,,,0.0
Ameer Abdullah RB - LV,Ameer Abdullah,RB,LV,KC,FA,,,,,,,1.0,10.0,,25.0,,,,,,0.0
De'Von Achane RB - MIA,De'Von Achane,RB,MIA,Bye,Boppard Raiders,,,,,,,,,,,,,,,,0.0
Salvon Ahmed RB - MIA Q View News,Salvon Ahmed,RB,MIA,NYJ,FA,,,,,7.0,,,,,,,,,,,0.0
Cam Akers RB - MIN,Cam Akers,RB,MIN,@SEA,FA,,,,,104.0,,3.0,24.0,,,,,,,,0.0
Tyler Allgeier RB - ATL,Tyler Allgeier,RB,ATL,TB,FlyRamsFly,,,,,135.0,,,,,,,,,,,0.0
Darius Anderson RB Q,Darius Anderson RB,Q,,@IND,FA,,,,,,,,,,,,,,,,0.0
Alex Armah RB - WAS,Alex Armah,RB,WAS,DAL,FA,,,,,,,,,,,,,,,,0.0
Ronald Awatt RB,Ronald Awatt,RB,,Bye,FA,,,,,,,,,,,,,,,,0.0
Tyler Badie RB - DEN,Tyler Badie,RB,DEN,LAC,FA,,,,,,,1.0,24.0,1.0,,,,,,,0.0
Saquon Barkley RB - NYG Q View News,Saquon Barkley,RB,NYG,@PHI,Washington Fantasy Team,,,,,,,,,,,,,,,,0.0
Nick Bawden RB - NYJ,Nick Bawden,RB,NYJ,@MIA,FA,,,,,,,,,,,,,,,,0.0
B.J. Baylor RB,B.J. Baylor,RB,,TB,FA,,,,,,,,,,,,,,,,0.0
Greg Bell RB - PIT,Greg Bell,RB,PIT,Bye,FA,,,,,,,,,,,,,,,,0.0
Nick Bellore RB - SEA,Nick Bellore,RB,SEA,LA,FA,,,,,3.0,,,,,,,,,,,0.0
Eno Benjamin RB - NO IR,Eno Benjamin,RB,NO,CAR,FA,,,,,3.0,,,,,,,,,,,0.0
Tank Bigsby RB - JAX,Tank Bigsby,RB,JAX,Bye,FA,,,,,,,,,,,,,,,,0.0
Raheem Blackshear RB - CAR,Raheem Blackshear,RB,CAR,@NO,FA,,,,,1.0,,,,,18.0,,,,,,0.0
Khari Blasingame RB - CHI,Khari Blasingame,RB,CHI,MIN,FA,,,,,,,,,,,,,,,,0.0
Brandon Bolden RB - LV,Brandon Bolden,RB,LV,KC,FA,,,,,,,,,,,,,,,,0.0
Mike Boone RB - HOU,Mike Boone,RB,HOU,@IND,FA,,,,,,,,,,,,,,,,0.0
Matt Breida RB - NYG,Matt Breida,RB,NYG,@PHI,Alta Villa Cardinals,,,,,,,,,,,,,,,,0.0
Gary Brightwell RB - NYG,Gary Brightwell,RB,NYG,@PHI,FA,,,,,60.0,,1.0,3.0,,64.0,,,,,,0.0
Christopher Brooks RB - MIA,Christopher Brooks,RB,MIA,Bye,FA,,,,,,,,,,,,,,,,0.0
Kennedy Brooks RB,Kennedy Brooks,RB,,NYG,FA,,,,,,,,,,,,,,,,0.0
Chase Brown RB - CIN,Chase Brown,RB,CIN,Bye,FA,,,,,,,,,,,,,,,,0.0
Ronnie Brown RB,Ronnie Brown,RB,,Bye,FA,,,,,,,,,,,,,,,,0.0
Spencer Brown RB,Spencer Brown,RB,,@NO,FA,,,,,,,,,,,,,,,,0.0
Robert Burns RB - CHI,Robert Burns,RB,CHI,Bye,FA,,,,,,,,,,,,,,,,0.0
Michael Burton RB - DEN,Michael Burton,RB,DEN,LAC,FA,,,,,,,,,,,,,,,,0.0
Jason Cabinda RB - DET IA,Jason Cabinda,RB,DET,@GB,W (Oct 4),,,,,,,,,,,,,,,,0.0
Michael Carter RB - NYJ,Michael Carter,RB,NYJ,@MIA,FA,,,,,4.0,,2.0,1.0,,,,,,,,0.0
Ty Chandler RB - MIN,Ty Chandler,RB,MIN,@CHI,FA,,,,,20.0,,,,,,,,,,,0.0
Zach Charbonnet RB - SEA,Zach Charbonnet,RB,SEA,Bye,Boppard Raiders,,,,,,,,,,,,,,,,0.0
Julius Chestnut RB - TEN IR,Julius Chestnut,RB,TEN,@JAX,FA,,,,,,,,,,46.0,,,,,,0.0
Nick Chubb RB - CLE IR,Nick Chubb,RB,CLE,@PIT,FA,,,,,77.0,,5.0,45.0,1.0,,,,,,,0.0
Corey Clement RB - ARI,Corey Clement,RB,ARI,Bye,FA,,,,,,,,,,,,,,,,0.0
Jack Colletto RB - SF,Jack Colletto,RB,SF,Bye,FA,,,,,,,,,,,,,,,,0.0
James Conner RB - ARI,James Conner,RB,ARI,@SF,Bad Wildcats Hunschat,,,,,,,,,,,,,,,,0.0
Snoop Conner RB - JAX,Snoop Conner,RB,JAX,TEN,FA,,,,,,,,,,,,,,,,0.0
Dalvin Cook RB - NYJ,Dalvin Cook,RB,NYJ,@CHI,GLADIATORS of NORSCHT,,,,,37.0,,1.0,,,,,,,1.0,1.0,0.0
James Cook RB - BUF,James Cook,RB,BUF,NE,Magic Eulers,,,,,45.0,,2.0,6.0,,,,,,,,0.0
Jashaun Corbin RB - CAR,Jashaun Corbin,RB,CAR,@PHI,FA,,,,,,,,,,,,,,,,0.0
Damarea Crockett RB,Damarea Crockett,RB,,LAC,FA,,,,,,,,,,,,,,,,0.0
DeeJay Dallas RB - SEA,DeeJay Dallas,RB,SEA,LA,FA,,,,,29.0,,1.0,-3.0,,24.0,,,,,,0.0
Malik Davis RB - DAL,Malik Davis,RB,DAL,@WAS,FA,,,,,19.0,,,,,,,,,,,0.0
Tyrion Davis-Price RB - SF,Tyrion,Davis,Price,ARI,FA,,,,,27.0,,,,,,,,,,,0.0
Emari Demercado RB - ARI,Emari Demercado,RB,ARI,Bye,FA,,,,,,,,,,,,,,,,0.0
AJ Dillon RB - GB,AJ Dillon,RB,GB,DET,Koblenz 87ers,,,,,33.0,,,,,,,,,,,0.0
Gerrid Doaks RB - HOU,Gerrid Doaks,RB,HOU,@IND,FA,,,,,,,,,,,,,,,,0.0
Elijah Dotson RB - LAC,Elijah Dotson,RB,LAC,Bye,FA,,,,,,,,,,,,,,,,0.0
Rico Dowdle RB - DAL,Rico Dowdle,RB,DAL,@WAS,FA,,,,,,,,,,,,,,,,0.0
Kenyan Drake RB - BAL,Kenyan Drake,RB,BAL,@CIN,FA,,,,,,,,,,,,,,,,0.0
Travis Dye RB,Travis Dye,RB,,Bye,FA,,,,,,,,,,,,,,,,0.0
Jerrion Ealy RB,Jerrion Ealy,RB,,@LV,FA,,,,,,,,,,,,,,,,0.0
Trestan Ebner RB Q,Trestan Ebner RB,Q,,MIN,FA,,,,,,,,,,,,,,,,0.0
Chase Edmonds RB - TB IR,Chase Edmonds,RB,TB,@ATL,FA,,,,,45.0,,,,,,,,,,,0.0
Gus Edwards RB - BAL,Gus Edwards,RB,BAL,@CIN,FA,,,,,16.0,,,,,,,,,,,0.0
Clyde Edwards-Helaire RB - KC,Clyde,Edwards,Helaire,@LV,FlyRamsFly,,,,,,,,,,,,,,,,0.0
Austin Ekeler RB - LAC D View News,Austin Ekeler,RB,LAC,@DEN,Magic Eulers,,,,,34.0,,4.0,36.0,,,,,,1.0,1.0,0.0
Ezekiel Elliott RB - NE,Ezekiel Elliott,RB,NE,@WAS,GLADIATORS of NORSCHT,,,,,,,,,,,,,,,,0.0
Travis Etienne RB - JAX,Travis Etienne,RB,JAX,TEN,dirty birds,,,,,17.0,,2.0,17.0,,,,,,,,0.0
Chris Evans RB - CIN,Chris Evans,RB,CIN,BAL,FA,,,,,,,,,,,,,,,,0.0
Tiyon Evans RB,Tiyon Evans,RB,,Bye,FA,,,,,,,,,,,,,,,,0.0
Zach Evans RB - LA,Zach Evans,RB,LA,Bye,FA,,,,,,,,,,,,,,,,0.0
Demetric Felton RB - CIN,Demetric Felton,RB,CIN,@PIT,FA,,,,,,,,,,,,,,,,0.0
Jerome Ford RB - CLE,Jerome Ford,RB,CLE,@PIT,Washington Fantasy Team,,,,,,,,,,93.0,,,,,,0.0
D'Onta Foreman RB - CHI,D'Onta Foreman,RB,CHI,MIN,FA,,,,,68.0,,,,,,,,,,,0.0
