Player,Name,Position,Team,Opp,Manager,Passing_Comp,Passing_Yds,Passing_TD,Passing_Int,Rushing_Yds,Rushing_TD,Receiving_Rec,Receiving_Yds,Receiving_TD,Return_Yds,Return_TD,Misc_FumTD,Misc_2PT,Fumble_Lost,Fumble_Fum,Fantasy_Points
Nate Adkins TE - DEN,Nate Adkins,TE,DEN,Bye,FA,,,,,,,,,,,,,,,,0.0
Jordan Akins TE - CLE,Jordan Akins,TE,CLE,@MIA,FA,,,,,,,3.0,72.0,,,,,,,,0.0
Mo Alie-Cox TE - IND,Mo,Alie,Cox,@LV,FA,,,,,,,,,,,,,,,,0.0
Austin Allen TE,Austin Allen,TE,,Bye,FA,,,,,,,,,,,,,,,,0.0
Chase Allen TE Q,Chase Allen TE,Q,,DET,FA,,,,,,,,,,,,,,,,0.0
Davis Allen TE - LA,Davis Allen,TE,LA,Bye,FA,,,,,,,,,,,,,,,,0.0
Mark Andrews TE - BAL,Mark Andrews,TE,BAL,Bye,Slay,,,,,,,,,,,,,,,,0.0
J.J. Arcega-Whiteside TE,J.J.,Arcega,Whiteside,Bye,FA,,,,,,,,,,,,,,,,0.0
Dan Arnold TE,Dan Arnold,TE,,@KC,FA,,,,,,,,,,,,,,,,0.0
Devin Asiasi TE - CLE,Devin Asiasi,TE,CLE,Bye,FA,,,,,,,,,,,,,,,,0.0
John Bates TE - WAS,John Bates,TE,WAS,@PHI,FA,,,,,,,,,,,,,,,,0.0
Andrew Beck TE - HOU,Andrew Beck,TE,HOU,@NYG,FA,,,,,,,,,,,,,,,,0.0
Blake Bell TE - KC,Blake Bell,TE,KC,JAX,FA,,,,,,,,,,,,,,,,0.0
Daniel Bellinger TE - NYG Q View News,Daniel Bellinger,TE,NYG,HOU,FA,,,,,,,,,,,,,,,,0.0
Kendall Blanton TE,Kendall Blanton,TE,,JAX,FA,,,,,,,,,,,,,,,,0.0
Nick Bowers TE - MIA,Nick Bowers,TE,MIA,Bye,FA,,,,,,,,,,,,,,,,0.0
Pharaoh Brown TE - NE,Pharaoh Brown,TE,NE,@LV,FA,,,,,,,2.0,13.0,,,,,,,,0.0
