Player,Name,Position,Team,Opp,Manager,Tackles_Tot,Tackles_Ast,Tackles_Sck,Tackles_TFL,Turnover_Int,Turnover_Frc Fum,Turnover_Fum Rec,Score_Int TD,Score_FumTD,Score_Blk TD,Score_Saf,Score_Def 2pt Ret,Other_Blk,Other_PDef,Other_QB Hit,Return_Int Yds,Fantasy_Points
Montravius Adams DL - PIT,Montravius Adams,DL,PIT,@CAR,FA,,,,,,,,,,,,,,,,,0.0
Myles Adams DL - SEA,Myles Adams,DL,SEA,SF,FA,1.0,1.0,,1.0,,,,,,,,,,1.0,,,0.0
Adetomiwa Adebawore DL - IND,Adetomiwa Adebawore,DL,IND,Bye,FA,,,,,,,,,,,,,,,,,0.0
Jayson Ademilola DL,Jayson Ademilola,DL,,Bye,FA,,,,,,,,,,,,,,,,,0.0
McTelvin Agim DL - IND,McTelvin Agim,DL,IND,@MIN,FA,,,,,,,,,,,,,,,,,0.0
Junior Aho DL - MIN,Junior Aho,DL,MIN,Bye,FA,,,,,,,,,,,,,,,,,0.0
Jonathan Allen DL - WAS,Jonathan Allen,DL,WAS,NYG,Koblenz 87ers,3.0,3.0,,1.0,,,,,,,,,,,,,0.0
Zach Allen DL - DEN,Zach Allen,DL,DEN,ARI,Slay,,,,,,,,,,,,,,,,,0.0
Bradlee Anae DL - NYJ IR,Bradlee Anae,DL,NYJ,DET,FA,,,,,,,,,,,,,,,,,0.0
Abdullah Anderson DL - WAS,Abdullah Anderson,DL,WAS,Bye,FA,,,,,,,,,,,,,,,,,0.0
Henry Anderson DL - CAR IR,Henry Anderson,DL,CAR,PIT,FA,,1.0,,,,,,,,,,,,,,,0.0
Ryder Anderson DL - NYG,Ryder Anderson,DL,NYG,Bye,FA,,,,,,,,,,,,,,,,,0.0
Will Anderson Jr. DL - HOU,Will Anderson Jr.,DL,HOU,Bye,St Quintin Heidschnucken,,,,,,,,,,,,,,,,,0.0
David Anenih DL,David Anenih,DL,,Bye,FA,,,,,,,,,,,,,,,,,0.0
Eli Ankou DL - BUF,Eli Ankou,DL,BUF,MIA,FA,,,,,,,,,,,,,,,,,0.0
Felix Anudike-Uzomah DL - KC,Felix,Anudike,Uzomah,Bye,FA,,,,,,,,,,,,,,,,,0.0
Arik Armstead DL - SF,Arik Armstead,DL,SF,@SEA,FA,1.0,,,,,,,,,,,,,,1.0,,0.0
Dorance Armstrong DL - DAL,Dorance Armstrong,DL,DAL,@JAX,FA,,,,,,,,,,,,,,,1.0,,0.0
Denico Autry DL - TEN Q View News,Denico Autry,DL,TEN,@LAC,Magic Eulers,,,,,,,,,,,,,,,,,0.0
Calvin Avery DL,Calvin Avery,DL,,Bye,FA,,,,,,,,,,,,,,,,,0.0
David Bada DL - WAS IR,David Bada,DL,WAS,NYG,FA,,,,,,,,,,,,,,,,,0.0
Eric Banks DL - ARI,Eric Banks,DL,ARI,@DEN,FA,,,,,,,,,,,,,,,,,0.0
Christian Barmore DL - NE Q,Christian Barmore,DL,NE,@LV,FA,,3.0,0.5,,,,,,,,,,,,,,0.0
Derek Barnett DL - PHI,Derek Barnett,DL,PHI,@CHI,FA,,,,,,,,,,,,,,,,,0.0
Amare Barno DL - CAR,Amare Barno,DL,CAR,PIT,FA,,,,,,,,,,,,,,,,,0.0
Carlos Basham DL - NYG,Carlos Basham,DL,NYG,MIA,FA,,1.0,,,,,,,,,,,,,,,0.0
Travis Bell DL - CHI,Travis Bell,DL,CHI,Bye,FA,,,,,,,,,,,,,,,,,0.0
Keeanu Benton DL - PIT,Keeanu Benton,DL,PIT,Bye,FA,,,,,,,,,,,,,,,,,0.0
Andrew Billings DL - CHI,Andrew Billings,DL,CHI,PHI,FA,,,,,,,,,,,,,,,,,0.0
Ross Blacklock DL - JAX,Ross Blacklock,DL,JAX,IND,FA,,,,,,,,,,,,,,,,,0.0
