Player,Name,Position,Team,Opp,Manager,PAT_Made,PAT_Miss,FG Made_0-19,FG Made_20-29,FG Made_30-39,FG Made_40-49,FG Made_50+,FG Miss_0-19,FG Miss_20-29,FG Miss_30-39,FG Miss_40-49,Fantasy_Points
Brandon Aubrey K - DAL,Brandon Aubrey,K,DAL,Bye,FA,,,,,,,,,,,,0.0
Mike Badgley K - DET,Mike Badgley,K,DET,@NYG,W (Oct 4),4.0,,,1.0,,,,,,,,0.0
Tyler Bass K - BUF,Tyler Bass,K,BUF,CLE,Washington Fantasy Team,1.0,,,1.0,2.0,2.0,1.0,,,,,0.0
Rodrigo Blankenship K,Rodrigo Blankenship,K,,Bye,FA,,,,,,,,,,,,0.0
Chris Boswell K - PIT,Chris Boswell,K,PIT,CIN,FA,,,,,,,,,,,,0.0
Tanner Brown K,Tanner Brown,K,,Bye,FA,,,,,,,,,,,,0.0
Randy Bullock K,Randy Bullock,K,,@GB,FA,,,,,,,,,,,,0.0
Harrison Butker K - KC,Harrison Butker,K,KC,@LAC,Boppard Raiders,3.0,,,,2.0,,1.0,,,,,0.0
Anders Carlson K - GB,Anders Carlson,K,GB,Bye,W (Oct 4),,,,,,,,,,,,0.0
Daniel Carlson K - LV,Daniel Carlson,K,LV,@DEN,Wbn Beasts,1.0,,,1.0,,,2.0,,,,1.0,0.0
Mason Crosby K,Mason Crosby,K,,TEN,FA,,,,,,,,,,,,0.0
Cameron Dicker K - LAC,Cameron Dicker,K,LAC,KC,FA,3.0,,,1.0,,1.0,,,,,,0.0
Christopher Dunn K,Christopher Dunn,K,,Bye,FA,,,,,,,,,,,,0.0
Jake Elliott K - PHI,Jake Elliott,K,PHI,@IND,FA,2.0,,,1.0,,,,,,,,0.0
Ka'imi Fairbairn K - HOU,Ka'imi Fairbairn,K,HOU,WAS,FA,1.0,,,1.0,,,,,,,,0.0
Nick Folk K - TEN,Nick Folk,K,TEN,NYJ,FA,1.0,,,1.0,,,,,,,2.0,0.0
Elliott Fry K,Elliott Fry,K,,Bye,FA,,,,,,,,,,,,0.0
Graham Gano K - NYG,Graham Gano,K,NYG,DET,Bad Wildcats Hunschat,,2.0,,,,,,,,,,0.0
Matt Gay K - IND,Matt Gay,K,IND,PHI,FA,2.0,,,,1.0,,1.0,,,,,0.0
Zane Gonzalez K Q,Zane Gonzalez K,Q,,@ARI,FA,,,,,,,,,,,,0.0
Robbie Gould K,Robbie Gould,K,,@ARI,FA,,,,,,,,,,,,0.0
Blake Grupe K - NO,Blake Grupe,K,NO,Bye,FA,,,,,,,,,,,,0.0
Stephen Hauschka K,Stephen Hauschka,K,,Bye,FA,,,,,,,,,,,,0.0
Lucas Havrisik K - CLE,Lucas Havrisik,K,CLE,Bye,FA,,,,,,,,,,,,0.0
Dustin Hopkins K - CLE,Dustin Hopkins,K,CLE,KC,FA,,,,,,,,,,,,0.0
Younghoe Koo K - ATL,Younghoe Koo,K,ATL,CHI,FA,3.0,,,,,1.0,1.0,,,,,0.0
Josh Lambo K,Josh Lambo,K,,Bye,FA,,,,,,,,,,,,0.0
Wil Lutz K - DEN,Wil Lutz,K,DEN,LA,FA,3.0,,,1.0,,1.0,,,,,,0.0
Brett Maher K - LA,Brett Maher,K,LA,@MIN,FlyRamsFly,,,,,,,,,,,,0.0
James McCourt K,James McCourt,K,,Bye,FA,,,,,,,,,,,,0.0
Chase McLaughlin K - TB,Chase McLaughlin,K,TB,Bye,FA,1.0,,,,2.0,,1.0,,,,,0.0
Brandon McManus K - JAX,Brandon McManus,K,JAX,LV,FA,1.0,,,,,2.0,1.0,,1.0,,,0.0
Evan McPherson K - CIN,Evan McPherson,K,CIN,@PIT,St Quintin Heidschnucken,4.0,,,,,2.0,1.0,,,,,0.0
Jake Moody K - SF,Jake Moody,K,SF,Bye,Magic Eulers,,,,,,,,,,,,0.0
Jason Myers K - SEA,Jason Myers,K,SEA,Bye,Slay,,,,,,,,,,,,0.0
Riley Patterson K - DET View News,Riley Patterson,K,DET,Bye,Koblenz 87ers,,,,,,,,,,,,0.0
Eddy Pineiro K - CAR,Eddy Pineiro,K,CAR,@BAL,Slay,,,,,1.0,,,,,,,0.0
Jack Podlesny K,Jack Podlesny,K,,Bye,FA,,,,,,,,,,,,0.0
B.T. Potter K,B.T. Potter,K,,Bye,FA,,,,,,,,,,,,0.0
Matt Prater K - ARI,Matt Prater,K,ARI,SF,Alta Villa Cardinals,1.0,,,,,1.0,,,,,,0.0
Alex Quevedo K,Alex Quevedo,K,,Bye,FA,,,,,,,,,,,,0.0
John Parker Romo K - CHI,John Parker Romo,K,CHI,Bye,FA,,,,,,,,,,,,0.0
Chad Ryland K - NE,Chad Ryland,K,NE,Bye,FA,,,,,,,,,,,,0.0
Jason Sanders K - MIA,Jason Sanders,K,MIA,Bye,dirty birds,,,,,,,,,,,,0.0
Cairo Santos K - CHI,Cairo Santos,K,CHI,@ATL,FA,3.0,,,,,1.0,,,,,,0.0
Austin Seibert K - NYJ,Austin Seibert,K,NYJ,Bye,FA,,,,,,,,,,,,0.0
Caleb Shudak K,Caleb Shudak,K,,@GB,FA,,,,,,,,,,,,0.0
Joey Slye K - WAS,Joey Slye,K,WAS,@HOU,FA,2.0,,,2.0,,1.0,,,,,,0.0
Ryan Succop K,Ryan Succop,K,,Bye,FA,,,,,,,,,,,,0.0
Andre Szmyt K,Andre Szmyt,K,,Bye,FA,,,,,,,,,,,,0.0
Matthew Trickett K,Matthew Trickett,K,,Bye,FA,,,,,,,,,,,,0.0
Justin Tucker K - BAL,Justin Tucker,K,BAL,CAR,dirty birds,1.0,,,,2.0,,,,,,,0.0
Jake Verity K,Jake Verity,K,,Bye,FA,,,,,,,,,,,,0.0
Tristan Vizcaino K,Tristan Vizcaino,K,,@MIN,FA,,,,,,,,,,,,0.0
Parker White K,Parker White,K,,Bye,FA,,,,,,,,,,,,0.0
Trey Wolff K,Trey Wolff,K,,Bye,FA,,,,,,,,,,,,0.0
Cade York K - TEN,Cade York,K,TEN,@BUF,FA,2.0,,,,1.0,,,,,1.0,,0.0
Greg Zuerlein K - NYJ,Greg Zuerlein,K,NYJ,@NE,GLADIATORS of NORSCHT,,,,,,1.0,,,,,,0.0
